983000,20,2e-05,1000000,2000
99830,25,0.00025,1000000,588.8
9937,25,0.0025,1000000,63.488
999,1.8,0.0017,40000,63.488
98.88,1.8,0.017,40000,6.3949
9.970000000000001,1.4,0.12,40000,6.3949
1.04,0.4,0.17,40000,0.63995
